assetid|symbol|securityname|business_summary|gics_level_1|gics_level_2|gics_level_3|gics_level_4|currency|domicile|exchange_name|exchange_name_full|base_type|subtype_l1 |subtype_l2 |subtype_l3 |first_quoted_date|last_quoted_date|last_price_update_date|ticker|index_family_code|as_of_date|as_of_time|market_cap|market_cap_date
131684|A|Agilent Technologies Inc Common|Agilent Technologies, Inc. provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, diagnostics and applied chemical markets. It has three business segments: life sciences and applied markets business, diagnostics and genomics business, and Agilent CrossLab business. Its life sciences and applied markets business segment offers instruments and software that enable customers to identify, quantify and analyze the physical and biological properties of substances and products, as well as enable customers in the clinical and life sciences research areas to interrogate samples at the molecular level. Its diagnostics and genomics business segment includes the reagent partnership, pathology, companion diagnostics, genomics and the nucleic acid solutions businesses. Its Agilent CrossLab business segment spans the entire lab with its consumables and services portfolio.|Health Care|Pharmaceuticals, Biotechnology & Life Sciences|Life Sciences Tools & Services|Life Sciences Tools & Services|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|1999-11-18|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|30192.3|2020-08-07
2214917|AA|Alcoa Corp Common|Alcoa Corporation (Alcoa) is engaged in the production of bauxite, alumina and aluminum of various cast and rolled products. The Company�s operations consist of three reportable business segments: Bauxite, Alumina, and Aluminum. The Bauxite and Alumina segments primarily consist of a series of affiliated operating entities held in Alcoa World Alumina and Chemicals (AWAC), which is a joint venture between Alcoa Corporation and Alumina Limited. The Aluminum segment consists of the Company�s aluminum smelting, casting, and rolling businesses, along with the energy production business. Its Bauxite segment consists of the Company�s global bauxite mining operations. The Company�s Alumina segment consists of the Company�s worldwide refining system, which processes bauxite into alumina. The Aluminum segment consists of its worldwide smelting and casthouse system, a rolling mill in the United States, and a portfolio of energy assets in Brazil, Canada, and the United States.|Materials|Materials|Metals & Mining|Aluminum|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2016-10-18|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|2727.5|2020-08-07
919693|AAL|American Airlines Group Inc Common|American Airlines Group Inc. is a holding company. The Company's primary business activity is the operation of a network air carrier, providing scheduled air transportation for passengers and cargo. The Company operates through American segment, which provides air transportation for passengers and cargo. The Company's cargo division provides a range of freight and mail services with facilities and interline connections available across the globe. Together with its regional airline subsidiaries and third-party regional carriers operating as American Eagle, its airline operated an average of nearly 6,700 flights per day to nearly 350 destinations in more than 50 countries, principally from its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, District of Columbia, as of December 31, 2016. In the fiscal year ended December 31, 2016, approximately 199 million passengers boarded its mainline and regional flights.|Industrials|Transportation|Airlines|Airlines|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2013-12-09|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|6626.6|2020-08-07
138634|AAN|Aaron's Inc Common|Aaron's, Inc. (Aaron's) is an omnichannel provider of lease-purchase solutions. The Company engages in the sales and lease ownership and specialty retailing of furniture, consumer electronics, home appliances and accessories through its Company-operated and franchised stores in Canada, as well as its e-commerce platform, Aarons.com. Its segments include Sales and Lease Ownership, Progressive Finance Holdings, LLC (Progressive), Dent-A-Med, Inc., doing business as the HELPcard (DAMI), Franchise and Manufacturing. Its stores carry brands, such as Samsung, Frigidaire, Hewlett-Packard, LG, Whirlpool, Simmons, Philips, Ashley and Magnavox. As of December 31, 2016, it had 1,864 Aaron's stores, consisted of 1,165 Company-operated stores in 28 states, the District of Columbia and Canada, and 699 independently-owned franchised stores in 46 states and Canada. It owns trademarks and trade names used in business, including Progressive, Dent-A-Med, the HELPcard and Woodhaven Furniture Industries.|Consumer Discretionary|Retailing|Specialty Retail|Homefurnishing Retail|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|1982-11-04|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|3667.2|2020-08-07
836309|AAOI|Applied Optoelectronics Inc Common|Applied Optoelectronics, Inc. is a vertically integrated provider of fiber-optic networking products, primarily for networking end markets, such as Internet data center, cable television (CATV), fiber-to-the-home (FTTH) and telecommunications (telecom). The Company designs and manufactures a range of optical communications products at varying levels of integration, from components, subassemblies and modules to turnkey equipment. To Internet-based data center operators, it supplies optical transceivers that plug into switches and servers within the data center and allow these network devices to send and receive data over fiber optic cables. The Company supplies a range of products, including lasers, transmitters and transceivers, and turnkey equipment, to the CATV market. The Company designs, manufactures and integrates its own analog and digital lasers using a combination of Metal Organic Chemical Vapor Deposition (MOCVD) and its Molecular Beam Epitaxy (MBE) fabrication process.|Information Technology|Technology Hardware & Equipment|Communications Equipment|Communications Equipment|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2013-09-26|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|359.8|2020-08-07
140588|AAON|Aaon Inc Common|AAON, Inc. is engaged in the engineering, manufacturing, marketing and sale of air conditioning and heating equipment consisting of standard, semi-custom and custom rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps and coils. Its products serve the commercial and industrial new construction and replacement markets. Its rooftop and condensing unit markets consist of units installed on commercial or industrial structures of less than 10 stories in height. Its air handling units, self-contained units, geothermal/water-source heat pumps, chillers, packaged outdoor mechanical rooms and coils are applicable to all sizes of commercial and industrial buildings. The replacement market consists of products installed to replace existing units/components that are worn or damaged.|Industrials|Capital Goods|Building Products|Building Products|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1991-01-03|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|3062|2020-08-07
145579|AAP|Advance Auto Parts Inc Common|Advance Auto Parts, Inc. provides automotive aftermarket parts in North America, serving do-it-for-me (Professional) and do-it-yourself (DIY), customers. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It serves through various channels ranging from traditional brick and mortar store locations to self-serving e-commerce sites. As of December 31, 2016, it operated 5,062 total stores and 127 branches primarily under the trade names Advance Auto Parts, Autopart International, Carquest and Worldpac. As of December 31, 2016, its Advance Auto Parts operations consisted of three geographic divisions, which included the operations of the stores operating under the Advance Auto Parts, Carquest and Autopart International trade names.|Consumer Discretionary|Retailing|Specialty Retail|Automotive Retail|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2001-11-29|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|10501.3|2020-08-07
136817|AAPL|Apple Inc Common|Apple Inc. designs, manufactures and markets mobile communication and media devices, personal computers and portable digital music players. The Company sells a range of related software, services, accessories, networking solutions, and third-party digital content and applications. The Company's segments include the Americas, Europe, Greater China, Japan and Rest of Asia Pacific. The Americas segment includes both North and South America. The Europe segment includes European countries, India, the Middle East and Africa. The Greater China segment includes China, Hong Kong and Taiwan. The Rest of Asia Pacific segment includes Australia and the Asian countries not included in the Company's other operating segments. Its products and services include iPhone, iPad, Mac, iPod, Apple Watch, Apple TV, a portfolio of consumer and professional software applications, iPhone OS (iOS), OS X and watchOS operating systems, iCloud, Apple Pay and a range of accessory, service and support offerings.|Information Technology|Technology Hardware & Equipment|Technology Hardware, Storage & Peripherals|Technology Hardware, Storage & Peripherals|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1980-12-12|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1900305.5|2020-08-07
532734|AAT|American Assets Trust Common|American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust (REIT). The Company owns, operates, acquires and develops retail, office, multifamily and mixed-use properties in Southern California, Northern California, Oregon, Washington, Texas and Hawaii markets. The Company operates in four business segments: retail, office, multifamily and mixed-use. As of December 31, 2016, the Company's portfolio consisted of 11 retail shopping centers; seven office properties; a mixed-use property consisting of a 369-room all-suite hotel and a retail shopping center, and five multifamily properties. Additionally, as of December 31, 2016, the Company owned land at four of its properties that it classified as held for development and construction in progress. The Company's markets include San Diego, the San Francisco Bay Area, Portland, Oregon, Bellevue, Washington and Oahu, Hawaii.|Real Estate|Real Estate|Equity Real Estate Investment Trusts (REITs)|Diversified REITs|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2011-01-13|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1641.8|2020-08-07
181395|AAWW|Atlas Air Worldwide Holdings Inc Common|Atlas Air Worldwide Holdings, Inc. is a holding company. The Company provides outsourced aircraft and aviation operating services throughout the world, serving Africa, Asia, Australia, Europe, the Middle East, North America and South America through contractual service arrangements, including those through which it provides aircraft to customers and value-added services, including crew, maintenance and insurance (ACMI), as well as those through which it provides crew, maintenance and insurance, but not the aircraft (CMI); cargo and passenger charter services (Charter), and dry leasing aircraft and engines (Dry Leasing). The Company's segments include ACMI, Charter and Dry Leasing. The Company operates a fleet of about 749 freighters and provides customers a range of 747, 777, 767, 757 and 737 aircraft for domestic, regional and international cargo and passenger applications. Its subsidiaries include Atlas Air, Inc. (Atlas) and Southern Air, Inc. (Southern Air).|Industrials|Transportation|Air Freight & Logistics|Air Freight & Logistics|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2004-07-21|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1543.9|2020-08-07
